fecha,hora,idServicio,gravedad,mensaje
09/07/2017;09:34;44;9;Out of memory
09/07/2017;09:35;22;9;Error0
09/07/2017;09:44;32;8;Error9
09/07/2017;09:45;43;9;Error10
09/07/2017;09:50;98;8;Error15
09/07/2017;09:55;55;9;Error20
09/07/2017;09:56;88;8;Error21
09/07/2017;10:09;33;9;Error34
09/07/2017;10:14;88;8;Error39
09/07/2017;10:16;77;9;Error41
09/07/2017;10:18;10;8;Error43
09/07/2017;10:25;87;9;Error50
09/07/2017;10:27;33;8;Error52
09/07/2017;10:37;21;9;Error62
09/07/2017;10:38;32;9;Error63
09/07/2017;10:39;43;8;Error64
09/07/2017;10:40;54;8;Error65
09/07/2017;10:59;65;9;Error84
09/07/2017;11:00;76;8;Error85
09/07/2017;11:04;44;8;Error89
09/07/2017;11:07;54;9;Error92
09/07/2017;11:10;87;9;Error95
